Starting Median Salary,Mid-Career Median Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Region_California,Region_Midwestern,Region_Northeastern,Region_Southern,Region_Western
62400,114000,94300,143000,0,0,1,0,0
62200,114000,80200,142000,0,0,1,0,0
61000,114000,91200,137000,0,0,1,0,0
61800,111000,80100,150000,0,0,1,0,0
61100,110000,85500,140000,0,0,1,0,0
60300,110000,79800,160000,0,0,1,0,0
54100,110000,80600,156000,0,0,1,0,0
56200,109000,74400,159000,0,0,1,0,0
52800,108000,76700,167000,0,0,1,0,0
59400,107000,71900,161000,0,0,1,0,0
54500,107000,84900,162000,0,0,1,0,0
53900,107000,79300,144000,0,0,1,0,0
48100,107000,74600,146000,0,0,1,0,0
50200,106000,65600,143000,0,0,1,0,0
60600,105000,81900,138000,0,0,1,0,0
59200,105000,85000,160000,0,0,1,0,0
49700,104000,67200,167000,0,0,1,0,0
52700,103000,70000,143000,0,0,1,0,0
51700,102000,76400,143000,0,0,1,0,0
55800,101000,76200,156000,0,0,1,0,0
47800,99900,65900,142000,0,0,1,0,0
46500,97900,62500,126000,0,0,1,0,0
53000,96700,74000,117000,0,0,1,0,0
47300,96500,60700,162000,0,0,1,0,0
53600,95900,71200,146000,0,0,1,0,0
47200,95800,75200,135000,0,0,1,0,0
50300,95600,65000,142000,0,0,1,0,0
46000,94600,60600,123000,0,0,1,0,0
47700,94200,69100,129000,0,0,1,0,0
42400,94200,57100,131000,0,0,1,0,0
49000,93900,64900,130000,0,0,1,0,0
53400,93500,72500,122000,0,0,1,0,0
48000,93400,65400,124000,0,0,1,0,0
47300,93200,62100,122000,0,0,1,0,0
49500,93000,67100,129000,0,0,1,0,0
49100,92800,55800,185000,0,0,1,0,0
46800,92700,67000,135000,0,0,1,0,0
44500,92200,63100,135000,0,0,1,0,0
50300,91800,65100,128000,0,0,1,0,0
43800,89900,65400,123000,0,0,1,0,0
53200,89700,65400,129000,0,0,1,0,0
48900,89200,70600,133000,0,0,1,0,0
43600,88900,63100,127000,0,0,1,0,0
48000,88800,66400,120000,0,0,1,0,0
48000,88600,62900,138000,0,0,1,0,0
46600,88200,61300,122000,0,0,1,0,0
42700,87400,62400,128000,0,0,1,0,0
45400,86600,65000,113000,0,0,1,0,0
50500,86400,62700,117000,0,0,1,0,0
45700,85900,59400,119000,0,0,1,0,0
46400,85800,63500,129000,0,0,1,0,0
44700,85800,66300,132000,0,0,1,0,0
49900,85700,62000,117000,0,0,1,0,0
43900,85300,60100,112000,0,0,1,0,0
45500,85200,58400,129000,0,0,1,0,0
43400,84700,57500,106000,0,0,1,0,0
48900,84600,62100,112000,0,0,1,0,0
40700,84400,59500,107000,0,0,1,0,0
47300,84200,59800,110000,0,0,1,0,0
44000,83900,59800,129000,0,0,1,0,0
49200,83700,51900,123000,0,0,1,0,0
42800,83500,58600,125000,0,0,1,0,0
52900,83400,61400,106000,0,0,1,0,0
44400,82900,66100,113000,0,0,1,0,0
41100,82800,60600,117000,0,0,1,0,0
44800,82700,58000,122000,0,0,1,0,0
46200,81700,61400,110000,0,0,1,0,0
42300,81300,47600,117000,0,0,1,0,0
42800,81000,60500,106000,0,0,1,0,0
45100,80300,61900,108000,0,0,1,0,0
42100,80000,54300,100000,0,0,1,0,0
40600,79200,54800,114000,0,0,1,0,0
41800,78900,67200,110000,0,0,1,0,0
45700,78700,56300,112000,0,0,1,0,0
41800,78300,56400,114000,0,0,1,0,0
45600,78200,53800,109000,0,0,1,0,0
38000,77800,53000,115000,0,0,1,0,0
43200,77700,56200,107000,0,0,1,0,0
37500,76700,54300,97700,0,0,1,0,0
43000,76500,57400,117000,0,0,1,0,0
40800,76200,54100,105000,0,0,1,0,0
46000,75300,54800,105000,0,0,1,0,0
41600,74600,42800,147000,0,0,1,0,0
42500,74400,56700,94900,0,0,1,0,0
45700,74000,53100,104000,0,0,1,0,0
42100,74000,57800,95100,0,0,1,0,0
42400,72600,56100,99600,0,0,1,0,0
42000,72300,48500,102000,0,0,1,0,0
41200,72100,55600,99300,0,0,1,0,0
38000,70300,51200,100000,0,0,1,0,0
36900,69700,57000,92000,0,0,1,0,0
37800,66200,44200,93300,0,0,1,0,0
39400,63600,47900,85700,0,0,1,0,0
43700,62600,47300,99000,0,0,1,0,0
